Game,Team,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-03-25 - NYI 4, BOS 3",NYI,2.0,51.9,50.7,39.0,38.1,2.1,3.3,8.3,13.0,1.3,2.3,5.8,9.8,26.6,20.0,0.5,0.3,13.7,9.1,14.0,14.5,0.3,0.6,6.9,7.9,1.0361999999999998,27.6,22.3,27.5,27.8,2.242,2.761
"2021-03-27 - NYI 3, PIT 6",NYI,1.0,52.8,49.9,39.9,37.4,2.2,3.2,7.2,12.3,1.2,2.1,5.4,9.3,27.7,20.3,0.6,0.4,14.6,9.3,15.0,14.3,0.4,0.6,7.5,8.1,1.0334,28.6,22.2,26.6,27.6,2.2060000000000004,2.714
"2021-03-29 - NYI 1, PIT 2",NYI,1.0,52.4,49.8,39.2,38.1,2.6,3.0,7.4,11.7,1.5,2.0,5.7,8.9,26.6,21.1,0.5,0.4,13.9,10.1,15.2,13.9,0.6,0.6,7.4,8.0,1.0052,28.1,22.6,25.6,27.8,2.302,2.712
"2021-04-01 - WSH 4, NYI 8",NYI,2.0,50.3,48.7,37.8,37.3,2.7,3.0,7.3,11.6,1.7,2.1,5.5,9.1,26.0,20.9,0.4,0.4,14.0,10.0,13.7,13.2,0.6,0.5,6.4,7.7,0.9994,27.0,21.0,24.8,27.6,2.245,2.658
"2021-04-03 - PHI 2, NYI 3",NYI,1.0,50.6,47.0,38.3,36.1,2.8,3.3,7.4,11.3,1.7,2.5,5.7,9.4,25.5,19.4,0.4,0.3,13.3,9.6,14.4,13.2,0.7,0.5,6.8,7.7,1.0044,27.0,21.8,24.5,27.5,2.321,2.557
"2021-04-06 - WSH 0, NYI 1",NYI,2.0,50.7,46.4,38.1,35.9,2.8,3.2,7.8,12.4,1.7,2.4,6.0,10.2,24.7,18.8,0.4,0.3,12.9,9.3,14.8,12.1,0.7,0.5,7.2,6.7,1.0033,27.4,22.6,24.5,27.0,2.33,2.561
"2021-04-08 - PHI 2, NYI 3",NYI,1.0,51.2,47.0,38.0,36.2,2.6,3.1,8.5,12.8,1.5,2.4,6.6,10.3,23.5,18.6,0.4,0.2,11.8,9.6,15.4,12.7,0.7,0.5,7.3,6.6,1.0065,27.2,23.9,25.5,27.5,2.407,2.599
"2021-04-09 - NYR 4, NYI 1",NYI,0.0,52.0,45.6,37.8,35.6,2.5,3.2,9.2,13.1,1.4,2.6,7.1,11.1,22.7,17.3,0.3,0.2,11.3,9.2,16.7,12.6,0.8,0.4,8.0,6.3,1.0169,27.7,25.9,25.7,27.6,2.449,2.678
"2021-04-11 - NYR 2, NYI 3",NYI,1.0,51.2,47.0,37.6,36.5,2.5,3.0,9.2,13.5,1.4,2.3,7.2,11.5,21.4,17.8,0.4,0.3,10.8,9.3,17.5,13.0,0.6,0.4,8.8,6.6,1.0097999999999998,28.2,26.7,26.5,28.3,2.445,2.7350000000000003
"2021-04-15 - NYI 1, BOS 4",NYI,3.0,52.9,46.8,39.1,36.7,2.6,2.7,9.4,13.2,1.3,1.8,7.2,11.4,22.1,18.1,0.5,0.3,10.6,9.3,18.4,13.0,0.7,0.6,9.2,7.0,0.9942,28.4,27.8,26.2,28.7,2.459,2.664
"2021-04-16 - NYI 0, BOS 3",NYI,0.0,53.7,46.4,39.7,37.0,2.9,2.6,10.1,12.4,1.3,1.7,7.9,10.7,21.6,18.6,0.6,0.3,10.7,9.8,19.2,12.7,0.9,0.6,9.5,7.2,0.9823999999999998,29.2,29.3,25.1,29.0,2.62,2.56
"2021-04-18 - NYI 1, PHI 0",NYI,1.0,52.4,46.7,38.6,37.3,2.9,2.2,10.6,12.5,1.5,1.5,8.4,10.8,21.3,18.6,0.5,0.2,10.5,9.5,17.8,13.0,0.8,0.5,8.8,7.3,0.9663,28.8,28.4,25.5,28.8,2.655,2.554
"2021-04-20 - NYR 1, NYI 6",NYI,1.0,54.0,47.4,39.8,37.3,2.3,2.0,10.5,12.2,1.1,1.3,8.3,10.4,23.3,19.0,0.5,0.2,11.4,9.3,17.8,13.5,0.6,0.5,9.0,7.5,0.9891,29.7,28.3,25.7,28.4,2.551,2.541
"2021-04-22 - WSH 1, NYI 0",NYI,1.0,56.2,48.4,40.4,38.1,2.2,2.5,10.9,12.5,1.0,1.7,8.5,10.6,23.7,19.4,0.5,0.2,11.5,9.5,18.9,13.9,0.6,0.6,9.1,7.5,1.0117999999999998,30.1,29.8,26.4,28.7,2.669,2.663
"2021-04-24 - WSH 6, NYI 3",NYI,1.0,57.7,47.6,41.7,37.4,1.8,1.7,10.8,11.1,0.8,1.1,8.4,9.3,24.7,19.1,0.4,0.2,12.0,9.6,19.8,14.8,0.5,0.4,9.4,7.9,1.0056999999999998,30.7,30.6,25.9,28.0,2.631,2.453
"2021-04-27 - NYI 0, WSH 1",NYI,2.0,57.5,48.6,41.7,37.8,2.2,1.8,10.5,10.7,1.0,1.1,8.2,9.2,24.6,20.0,0.5,0.3,12.2,9.7,19.8,15.4,0.6,0.4,9.2,7.9,0.9961,30.5,30.3,26.1,28.0,2.574,2.499
"2021-04-29 - NYI 4, NYR 0",NYI,1.0,58.7,46.9,42.9,35.9,2.3,1.7,11.3,9.3,1.1,1.0,8.8,7.7,24.8,19.4,0.5,0.3,12.3,9.1,20.1,15.4,0.6,0.4,9.1,8.0,0.9905,30.9,31.4,24.7,25.9,2.687,2.3000000000000003
"2021-05-01 - NYR 0, NYI 3",NYI,1.0,58.8,48.1,43.2,36.9,2.1,1.9,10.9,8.9,1.0,0.8,8.4,7.1,25.6,20.6,0.5,0.4,12.7,9.7,19.6,15.8,0.5,0.7,8.8,8.4,1.004,30.7,30.5,24.7,26.3,2.599,2.287
"2021-05-03 - NYI 2, BUF 4",NYI,1.0,59.2,47.6,42.9,36.8,1.7,2.1,10.3,8.2,0.8,0.8,7.8,6.3,26.7,20.4,0.4,0.3,12.7,9.4,19.6,16.7,0.5,1.0,8.9,8.9,1.024,29.9,29.9,24.9,25.6,2.518,2.269
"2021-05-04 - NYI 3, BUF 4",NYI,0.0,58.6,48.6,43.2,37.3,1.9,2.0,10.0,8.2,1.0,0.7,7.8,6.0,26.7,21.7,0.4,0.4,13.7,10.8,19.1,16.5,0.4,0.9,9.1,8.4,1.0178999999999998,31.3,29.1,24.7,26.0,2.607,2.205
"2021-05-06 - NJ 2, NYI 1",NYI,1.0,56.6,52.1,42.0,40.1,1.8,2.2,9.5,9.4,1.0,0.7,7.3,7.0,26.1,23.2,0.4,0.4,13.3,11.9,18.0,17.4,0.3,1.1,8.2,8.9,1.019,29.9,27.5,26.8,28.5,2.389,2.409
"2021-05-08 - NJ 1, NYI 5",NYI,1.0,56.9,54.3,41.5,40.8,1.7,2.3,9.4,9.9,1.0,0.8,7.1,7.3,26.1,24.4,0.3,0.4,13.0,12.7,18.1,17.9,0.3,1.1,8.2,8.6,1.0247,29.6,27.5,27.8,29.3,2.2630000000000003,2.455
"2021-05-10 - NYI 2, BOS 3",NYI,1.0,55.8,54.5,40.7,39.9,1.8,2.7,9.1,10.5,1.1,1.3,7.0,7.9,24.7,23.6,0.3,0.4,12.6,12.0,18.6,18.5,0.3,1.0,8.0,8.6,1.0355,29.0,27.7,29.0,29.2,2.244,2.454
"2021-10-14 - NYI 3, CAR 6",NYI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-16 - NYI 1, FLA 5",NYI,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-19 - NYI 4, CHI 1",NYI,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-21 - NYI 2, CBJ 3",NYI,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-23 - NYI 3, ARI 0",NYI,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-24 - NYI 2, VGK 0",NYI,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-30 - NYI 2, NSH 3",NYI,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-04 - NYI 6, MTL 2",NYI,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-06 - NYI 2, WPG 0",NYI,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-07 - NYI 2, MIN 5",NYI,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-11 - NYI 0, NJ 4",NYI,3.0,66.4,51.0,47.3,40.3,2.4,2.7,11.3,10.1,1.2,1.6,8.8,7.4,31.8,23.7,0.4,0.3,15.3,13.1,20.3,14.1,0.6,0.7,8.2,8.1,1.0214,33.4,31.6,24.2,29.7,2.816,2.596
"2021-11-15 - NYI 1, TB 4",NYI,3.0,64.0,54.0,46.1,42.0,2.2,2.4,11.2,9.6,1.3,1.3,8.8,7.4,31.0,25.4,0.2,0.3,14.9,14.2,19.5,15.9,0.5,0.7,8.1,8.5,1.0135,32.7,30.7,25.5,31.1,2.6710000000000003,2.673
"2021-11-16 - NYI 1, FLA 6",NYI,0.0,62.5,53.4,45.8,41.3,2.1,2.4,11.8,10.1,1.2,1.3,9.3,7.8,29.3,24.1,0.3,0.3,14.9,14.0,19.5,16.0,0.4,0.7,7.5,7.9,1.017,32.6,31.3,26.1,30.7,2.687,2.672
"2021-11-20 - CGY 5, NYI 2",NYI,3.0,60.8,53.3,45.5,41.0,2.6,2.1,11.5,10.8,1.4,1.2,9.2,8.3,27.8,23.3,0.5,0.3,14.2,13.1,19.3,15.8,0.5,0.5,7.7,8.0,0.9926,32.2,30.8,26.6,30.6,2.628,2.705
"2021-11-21 - TOR 3, NYI 0",NYI,0.0,60.4,53.1,44.8,40.8,2.8,2.1,11.0,11.5,1.4,1.3,8.9,8.9,27.4,23.0,0.5,0.3,14.0,12.8,19.5,15.7,0.5,0.4,7.8,7.9,0.9858,32.1,30.5,27.2,30.6,2.679,2.776
"2021-11-24 - NYR 4, NYI 1",NYI,2.0,61.3,52.9,46.1,40.9,3.1,1.8,12.3,12.9,1.7,1.1,9.9,9.2,26.5,21.7,0.5,0.2,13.4,12.0,20.3,15.7,0.5,0.4,8.9,7.9,0.9658,33.5,32.6,28.6,30.2,2.879,2.8840000000000003
"2021-11-26 - PIT 1, NYI 0",NYI,1.0,57.4,52.2,43.4,39.5,3.5,1.7,11.7,12.0,2.1,1.1,9.5,8.9,23.6,20.9,0.5,0.1,12.0,11.7,19.7,16.8,0.5,0.4,8.5,8.0,0.9438,31.4,31.4,28.8,29.7,2.705,2.676
"2021-12-02 - SJ 2, NYI 1",NYI,5.0,58.2,51.4,43.7,38.4,3.4,1.5,12.4,12.7,2.1,1.1,9.9,9.5,22.8,20.0,0.5,0.1,12.3,10.9,20.4,16.1,0.4,0.2,8.5,7.1,0.9436,32.1,32.8,28.8,28.6,2.72,2.746
"2021-12-04 - NYI 3, DET 4",NYI,1.0,57.5,51.4,44.0,37.5,3.4,1.0,12.5,11.4,2.2,0.7,9.9,8.3,22.4,20.9,0.5,0.2,11.6,10.9,19.8,15.9,0.3,0.1,8.7,6.9,0.9305,31.8,32.3,27.3,27.5,2.83,2.522
"2021-12-05 - CHI 3, NYI 2",NYI,0.0,57.2,51.5,43.9,36.3,3.8,1.1,12.9,10.6,2.3,0.6,10.3,7.9,22.3,22.0,0.7,0.3,11.6,11.2,19.1,16.0,0.4,0.2,9.0,6.4,0.9237,32.4,32.0,26.6,26.7,2.929,2.319
"2021-12-07 - NYI 5, OTT 3",NYI,1.0,55.3,52.4,42.5,37.2,3.5,1.1,12.4,11.2,2.3,0.5,9.7,8.1,21.0,21.8,0.6,0.4,10.8,11.3,19.3,16.7,0.4,0.2,9.2,6.4,0.9276,31.1,31.7,27.9,27.0,2.775,2.4560000000000004
"2021-12-09 - NSH 4, NYI 3",NYI,1.0,56.4,49.7,43.1,36.0,3.4,1.6,11.8,10.9,2.0,0.8,9.2,7.8,22.8,20.9,0.8,0.4,11.2,10.1,19.0,15.2,0.4,0.4,9.1,6.2,0.9488,31.0,30.8,26.1,25.5,2.79,2.335
"2021-12-11 - NJ 2, NYI 4",NYI,1.0,56.6,49.1,43.0,35.3,3.4,1.8,11.4,10.9,2.1,1.0,8.9,7.8,23.3,20.3,0.7,0.4,11.3,9.6,19.0,15.1,0.4,0.4,9.4,6.3,0.9597,31.1,30.4,26.0,25.0,2.85,2.334
"2021-12-14 - NYI 1, DET 2",NYI,2.0,57.3,49.8,42.4,36.2,3.0,2.1,11.2,10.9,1.9,1.3,8.7,7.7,24.2,20.0,0.5,0.4,11.5,9.4,19.4,16.0,0.4,0.4,9.2,6.8,0.9803,30.7,30.6,26.9,25.1,2.83,2.527
"2021-12-16 - BOS 1, NYI 3",NYI,1.0,58.3,49.9,43.7,36.1,2.7,2.0,12.1,10.5,1.7,1.2,9.3,7.3,24.9,20.0,0.6,0.4,11.9,9.3,18.6,16.4,0.4,0.4,8.9,7.1,0.9887,31.5,30.7,26.9,24.9,2.858,2.519
"2021-12-19 - VGK 4, NYI 3",NYI,2.0,58.2,50.4,43.7,36.4,2.5,2.3,11.4,10.1,1.4,1.2,8.9,7.6,26.0,19.9,0.7,0.5,13.1,9.6,17.9,17.1,0.4,0.6,8.1,7.3,1.0045,31.6,29.3,27.2,25.7,2.743,2.66
"2021-12-30 - BUF 1, NYI 4",NYI,10.0,59.5,51.0,44.8,37.5,2.4,2.5,11.3,10.7,1.1,1.3,8.8,7.9,27.0,19.7,0.9,0.5,14.2,9.7,18.6,17.2,0.4,0.6,8.7,7.8,1.0194,32.9,29.9,27.9,26.8,2.7830000000000004,2.691
"2022-01-01 - EDM 2, NYI 3",NYI,1.0,58.5,51.4,44.5,38.2,2.4,2.9,10.6,10.7,1.1,1.5,8.5,7.9,26.1,19.4,0.9,0.6,13.9,9.5,19.2,18.1,0.4,0.7,9.8,8.8,1.0325,33.6,29.8,28.8,27.5,2.809,2.685
"2022-01-13 - NJ 2, NYI 3",NYI,11.0,56.4,52.0,42.7,38.9,2.4,3.1,10.1,11.2,1.0,1.7,7.8,8.4,25.5,19.1,1.0,0.5,13.5,9.2,18.6,19.2,0.4,0.8,9.6,9.4,1.034,32.0,28.7,30.4,27.9,2.689,2.81
"2022-01-15 - WSH 2, NYI 0",NYI,1.0,55.9,51.4,42.6,39.0,2.2,3.1,11.1,11.6,1.1,1.7,8.7,8.7,24.4,17.4,0.8,0.5,13.2,8.7,18.5,19.9,0.3,0.8,9.2,9.7,1.0401,32.2,29.6,31.5,28.1,2.733,2.935
"2022-01-17 - PHI 1, NYI 4",NYI,1.0,56.5,50.5,43.1,38.2,2.2,2.9,11.2,11.3,1.1,1.7,8.9,8.8,24.8,16.9,0.7,0.4,13.5,8.2,18.4,19.8,0.4,0.7,9.7,10.0,1.0338999999999998,33.2,29.6,31.1,28.0,2.847,2.875
"2022-01-18 - NYI 4, PHI 3",NYI,0.0,55.1,50.7,42.1,38.3,2.0,2.8,11.0,11.5,1.1,1.6,8.9,9.0,22.1,15.7,0.5,0.4,12.3,7.6,19.9,20.9,0.4,0.7,10.3,10.6,1.0337,32.6,30.9,32.4,28.4,2.7960000000000003,2.9799999999999995
"2022-01-21 - ARI 0, NYI 4",NYI,2.0,55.9,52.2,42.6,39.1,1.9,2.8,11.3,11.4,1.0,1.5,8.9,8.9,23.1,17.8,0.5,0.5,13.1,8.8,19.2,20.4,0.4,0.7,10.0,10.4,1.0341,33.1,30.5,31.8,29.4,2.7920000000000003,3.0
"2022-01-22 - TOR 3, NYI 1",NYI,0.0,53.6,52.4,40.8,39.1,1.7,2.8,10.9,11.4,0.9,1.4,8.7,9.2,21.6,18.2,0.5,0.5,12.0,9.2,18.9,20.6,0.3,0.8,9.8,10.3,1.038,31.6,29.8,32.0,30.0,2.658,2.899
"2022-01-25 - PHI 3, NYI 4",NYI,2.0,51.6,51.2,38.7,38.5,1.8,2.8,10.5,11.0,1.1,1.4,8.6,8.8,20.2,18.2,0.4,0.5,11.2,8.9,19.3,19.8,0.3,0.8,9.6,10.3,1.0307,30.0,29.8,30.8,29.4,2.56,2.787
"2022-01-27 - LA 3, NYI 2",NYI,1.0,49.0,52.6,36.2,39.6,2.0,2.9,9.7,10.8,1.2,1.5,7.7,8.6,18.8,19.5,0.5,0.5,10.1,9.2,18.8,20.2,0.3,0.8,9.0,10.7,1.0169,27.6,28.5,31.0,29.9,2.407,2.765
"2022-01-30 - MIN 4, NYI 3",NYI,2.0,48.7,52.4,36.2,39.0,2.0,2.8,10.1,11.0,1.1,1.4,8.1,9.0,18.0,19.6,0.4,0.6,9.4,9.0,18.9,19.5,0.4,0.8,8.8,10.0,1.0143,27.2,29.0,30.5,29.2,2.524,2.846
"2022-02-01 - OTT 1, NYI 4",NYI,1.0,47.4,53.7,34.7,40.6,2.3,2.7,10.4,11.8,1.4,1.4,8.4,9.5,18.1,20.2,0.4,0.5,9.1,9.6,17.0,19.3,0.4,0.7,7.4,9.9,0.9924000000000002,25.6,27.4,31.1,30.3,2.435,3.066
"2022-02-02 - SEA 3, NYI 0",NYI,0.0,47.7,52.9,35.2,40.5,2.2,2.8,10.3,11.6,1.3,1.5,8.6,9.3,18.5,20.5,0.3,0.5,9.5,10.4,16.5,18.2,0.5,0.7,7.3,9.4,1.0022,26.4,26.8,29.8,30.4,2.393,3.038
"2022-02-09 - NYI 6, VAN 3",NYI,6.0,48.3,53.5,35.4,40.3,2.3,2.5,9.2,11.3,1.1,1.4,7.4,8.9,19.1,21.7,0.4,0.4,9.7,10.8,17.4,17.9,0.7,0.6,8.1,8.8,0.9867,26.3,26.6,29.2,29.8,2.391,2.875
"2022-02-11 - NYI 1, EDM 3",NYI,1.0,49.7,54.6,36.4,40.7,2.4,3.1,9.3,11.5,1.2,1.8,7.3,9.1,20.3,22.6,0.5,0.4,10.2,11.2,17.5,17.5,0.6,0.8,7.7,8.4,1.0064,26.4,26.8,29.0,30.2,2.305,2.8660000000000005
"2022-02-12 - NYI 2, CGY 5",NYI,0.0,50.3,55.0,36.5,41.4,2.6,2.8,10.0,11.8,1.3,1.6,7.8,9.0,20.9,23.6,0.6,0.4,10.8,12.2,16.6,16.9,0.6,0.7,7.4,8.5,0.9915,27.3,26.6,28.7,30.9,2.406,2.8470000000000004
"2022-02-15 - NYI 3, BUF 6",NYI,2.0,50.8,54.2,36.5,41.7,2.8,2.7,9.6,11.7,1.2,1.5,7.6,8.7,20.5,22.2,0.6,0.4,9.6,11.4,17.6,17.6,0.9,0.7,8.1,8.6,0.9829,26.8,27.2,29.3,29.9,2.355,2.856
"2022-02-17 - BOS 1, NYI 4",NYI,1.0,53.6,53.3,39.3,41.4,3.4,2.6,10.5,12.1,1.5,1.5,8.0,9.0,21.9,22.3,0.6,0.3,10.8,11.6,17.6,16.2,1.0,0.7,8.5,7.9,0.966,29.2,28.1,28.3,29.7,2.602,2.873
"2022-02-20 - MTL 3, NYI 2",NYI,2.0,54.6,53.1,40.2,41.0,3.2,2.9,10.2,11.9,1.3,1.5,7.6,9.0,22.6,22.3,0.7,0.4,11.0,11.7,18.2,15.9,0.9,0.8,9.1,7.8,0.9856,29.6,28.4,27.8,29.8,2.591,2.905
"2022-02-22 - NYI 5, SEA 2",NYI,1.0,55.5,52.3,40.9,40.8,3.1,2.7,10.3,12.1,1.2,1.5,7.6,9.4,22.9,22.0,0.6,0.3,11.4,11.5,18.8,15.2,1.0,0.7,9.8,7.4,0.9899,30.6,29.1,27.3,29.7,2.678,2.873
"2022-02-24 - NYI 3, SJ 4",NYI,1.0,56.9,53.3,41.4,41.7,3.0,3.0,10.1,11.8,1.3,1.8,7.0,9.1,24.3,23.3,0.5,0.2,11.6,12.5,18.7,15.4,1.0,0.8,9.7,7.9,0.9978,30.1,28.8,27.2,30.8,2.55,2.925
"2022-02-26 - NYI 2, LA 5",NYI,1.0,57.5,55.0,42.4,42.1,2.9,3.0,9.8,11.4,0.9,1.8,6.6,8.9,24.2,24.2,0.6,0.3,11.9,12.8,19.6,15.7,1.1,0.8,10.1,7.8,1.0055999999999998,30.8,29.4,27.1,31.2,2.517,2.774
"2022-02-27 - NYI 4, ANA 0",NYI,0.0,60.2,54.8,44.0,42.0,3.3,2.8,10.2,11.7,1.0,1.6,6.6,9.1,25.1,24.0,0.6,0.3,12.1,12.2,21.0,15.4,1.3,0.8,10.9,7.9,0.9892999999999998,31.7,31.2,27.1,31.0,2.772,2.842
"2022-03-01 - NYI 3, COL 5",NYI,1.0,60.7,53.8,44.2,42.5,3.0,3.2,9.8,11.9,1.0,1.8,6.5,9.4,26.0,23.7,0.5,0.3,12.6,11.9,21.0,14.6,1.1,1.0,10.8,8.3,1.0172,32.0,30.8,26.5,31.3,2.649,2.93
"2022-03-03 - VAN 4, NYI 3",NYI,1.0,62.0,54.1,44.9,43.4,3.2,2.9,10.1,12.3,0.8,1.5,6.5,9.4,25.3,23.5,0.5,0.4,12.0,11.9,22.5,14.7,1.4,0.9,11.9,8.6,1.0011,32.6,32.6,27.0,31.7,2.8560000000000003,3.031
"2022-03-05 - STL 1, NYI 2",NYI,1.0,62.6,54.3,45.5,42.1,3.3,3.1,10.0,12.0,1.0,1.6,6.5,9.2,25.9,23.1,0.5,0.4,12.2,11.3,22.6,15.3,1.3,1.0,11.8,8.2,1.0074,32.8,32.6,27.3,30.6,2.8240000000000003,2.8600000000000003
"2022-03-07 - COL 5, NYI 4",NYI,1.0,62.1,54.0,44.9,40.9,2.9,3.1,9.9,12.6,0.9,1.6,6.3,9.8,25.7,22.2,0.5,0.4,12.8,10.9,22.7,15.6,1.0,1.0,11.8,8.0,1.0219,33.0,32.6,28.2,30.5,2.777,2.87
"2022-03-10 - CBJ 0, NYI 6",NYI,2.0,62.8,56.0,46.0,41.5,2.8,3.2,10.2,12.4,0.8,1.5,6.9,9.5,25.1,22.5,0.6,0.5,12.5,11.0,23.9,17.2,1.1,0.9,12.5,8.3,1.0283000000000002,33.8,34.1,29.6,30.8,2.8480000000000003,2.873
"2022-03-11 - WPG 2, NYI 5",NYI,0.0,62.7,57.4,45.6,42.7,2.7,3.4,10.6,14.3,0.8,1.9,7.1,10.8,24.9,21.7,0.5,0.4,12.8,10.5,23.6,17.5,1.1,0.9,11.7,8.0,1.0364,33.6,34.2,31.8,31.2,2.8600000000000003,3.156
"2022-03-13 - ANA 3, NYI 4",NYI,1.0,63.8,58.3,46.5,42.7,2.7,3.7,11.4,14.4,0.9,2.1,7.7,10.7,24.9,21.4,0.4,0.5,12.7,10.9,24.1,18.3,1.1,0.8,11.6,8.1,1.0439,33.8,35.5,32.7,31.8,3.032,3.176
"2022-03-15 - NYI 3, WSH 4",NYI,1.0,64.2,57.5,46.8,42.2,2.8,3.6,12.0,14.2,1.1,1.9,8.6,10.6,23.6,21.1,0.4,0.6,12.2,10.3,25.6,18.2,1.0,0.8,13.0,8.0,1.0447,35.5,37.6,32.4,31.1,3.208,3.12
"2022-03-17 - NYI 2, NYR 1",NYI,1.0,65.2,55.3,47.7,40.7,2.8,3.6,12.5,13.4,1.2,1.9,8.9,9.9,24.4,21.3,0.3,0.5,12.3,10.2,25.8,17.2,1.1,0.9,13.4,7.6,1.049,35.9,38.3,30.6,29.6,3.325,2.999
"2022-03-19 - DAL 2, NYI 4",NYI,1.0,62.9,55.3,46.1,40.7,2.4,3.6,12.1,13.5,1.1,1.9,9.1,9.9,23.4,21.0,0.3,0.5,12.3,10.1,25.3,17.6,0.9,0.9,12.8,7.8,1.0595,35.3,37.4,31.1,29.6,3.1260000000000003,2.968
"2022-03-20 - NYI 1, PHI 2",NYI,0.0,63.0,54.9,46.7,39.7,2.6,3.6,13.1,13.3,1.3,1.8,9.9,9.9,22.6,21.1,0.3,0.6,11.9,10.7,25.2,17.2,0.9,0.8,12.8,7.4,1.0522,35.8,38.3,30.5,29.9,3.26,2.974
"2022-03-22 - OTT 0, NYI 3",NYI,1.0,61.1,55.0,45.5,39.0,2.3,3.4,13.1,12.6,1.3,1.7,9.9,9.5,23.7,21.8,0.3,0.6,13.3,11.0,22.6,17.3,0.7,0.7,11.1,7.2,1.0524999999999998,35.2,35.7,29.9,29.5,3.057,2.889
"2022-03-24 - DET 2, NYI 5",NYI,1.0,58.9,54.3,43.5,38.7,1.9,3.4,12.8,12.9,1.0,1.8,9.6,9.8,23.1,22.1,0.2,0.7,12.9,11.2,21.6,16.2,0.7,0.5,10.7,6.9,1.063,33.8,34.4,29.1,29.5,2.979,2.9799999999999995
"2022-03-26 - NYI 3, BOS 6",NYI,1.0,59.7,54.1,44.6,39.7,2.0,3.7,13.4,12.3,1.0,1.8,10.1,9.5,23.4,22.9,0.2,0.7,13.4,11.6,21.5,15.2,0.8,0.8,10.4,7.1,1.0703,34.6,34.9,27.5,30.1,3.153,3.065
"2022-03-27 - TB 4, NYI 1",NYI,0.0,60.6,51.1,44.7,38.4,2.1,3.6,13.3,12.4,1.1,2.0,9.9,9.7,24.8,21.9,0.2,0.6,13.8,11.1,21.1,13.7,0.8,0.8,9.7,6.9,1.0669,34.1,34.4,26.1,29.2,3.197,3.023000000000001
"2022-03-29 - NYI 4, CBJ 3",NYI,1.0,61.9,50.6,46.2,37.7,2.5,3.1,13.9,11.4,1.4,1.6,10.3,8.6,25.3,22.1,0.2,0.6,13.9,11.4,21.2,14.3,0.9,0.7,10.2,6.8,1.0411,35.0,35.1,25.7,28.3,3.4090000000000003,2.824
"2022-03-31 - CBJ 2, NYI 5",NYI,1.0,63.3,48.5,47.6,37.0,2.6,3.0,13.7,10.6,1.4,1.5,10.2,7.9,26.6,21.9,0.2,0.6,14.9,11.3,21.1,13.7,1.0,0.8,10.7,7.0,1.0419,36.6,34.8,24.3,27.4,3.376,2.688
"2022-04-01 - NYI 3, NYR 0",NYI,0.0,61.8,49.6,46.9,38.3,2.5,3.1,13.0,11.0,1.3,1.3,9.5,7.9,26.7,21.7,0.2,0.6,15.4,11.5,19.9,14.3,1.0,1.0,9.7,7.4,1.0428,35.6,32.9,25.3,28.1,3.198,2.829
"2022-04-03 - NYI 4, NJ 3",NYI,1.0,61.6,47.6,46.2,36.4,2.2,3.1,12.8,11.4,1.2,1.3,9.4,8.3,26.9,20.0,0.2,0.6,15.7,10.4,19.1,13.8,0.8,1.0,8.8,6.8,1.0595,35.1,31.9,25.2,26.7,3.179,2.836
"2022-04-05 - NYI 2, DAL 3",NYI,1.0,62.6,47.5,47.6,36.2,2.4,3.3,13.7,10.9,1.4,1.5,9.5,8.2,27.9,20.3,0.2,0.6,15.7,10.6,18.3,13.5,0.8,1.0,8.8,6.5,1.0595,35.1,32.0,24.4,26.8,3.315,2.795
"2022-04-08 - NYI 2, CAR 1",NYI,2.0,62.7,47.9,47.7,36.5,2.5,3.1,14.3,11.1,1.5,1.5,10.0,8.2,27.6,19.0,0.2,0.5,15.6,9.5,17.7,14.2,0.8,1.0,8.5,6.9,1.0506,35.2,32.0,25.3,26.4,3.3879999999999995,2.75
"2022-04-09 - NYI 1, STL 6",NYI,0.0,61.6,45.6,46.8,35.6,2.4,3.2,13.8,11.4,1.6,1.7,9.8,8.2,26.7,17.9,0.1,0.4,14.0,9.4,18.0,13.0,0.7,1.0,8.6,6.5,1.0571000000000002,33.6,31.8,24.4,25.8,3.304,2.7030000000000003
"2022-04-12 - PIT 4, NYI 5",NYI,2.0,62.8,45.9,48.6,36.9,3.0,3.0,13.9,10.8,1.9,1.5,9.8,7.8,26.1,18.0,0.1,0.4,13.5,9.8,19.6,13.7,1.0,1.0,9.7,6.7,1.0299,34.3,33.5,24.5,26.2,3.4900000000000007,2.739
