Game,Team,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-02-16 - WSH 3, PIT 1",WSH,2021-02-16,WSH,3,PIT,1,Lost,1.0,61.9,54.5,46.8,40.4,4.1,3.5,10.6,9.6,2.2,1.5,7.9,7.6,30.5,27.6,0.6,0.9,15.1,13.5,15.4,14.0,1.0,1.0,8.3,7.7,0.993,33.7,26.0,23.6,29.9,3.159,2.43
"2021-02-18 - BUF 1, WSH 3",WSH,2021-02-18,BUF,1,WSH,3,Won,1.0,61.0,55.8,46.4,42.4,3.7,3.4,9.9,9.9,1.8,1.4,7.3,7.7,30.1,28.7,0.5,0.9,15.4,14.6,15.6,13.9,1.1,1.0,8.4,8.0,0.9977,33.4,25.5,23.8,31.5,3.02,2.589
"2021-02-20 - NYR 4, WSH 1",WSH,2021-02-20,NYR,4,WSH,1,Lost,1.0,59.8,55.6,45.6,42.0,3.5,3.4,9.9,9.9,1.5,1.5,7.1,7.7,29.7,27.9,0.6,0.9,15.7,13.7,15.3,14.7,1.1,0.9,8.2,8.1,1.0093,33.0,25.2,24.6,30.4,3.0149999999999997,2.6559999999999997
"2021-02-21 - NJ 3, WSH 4",WSH,2021-02-21,NJ,3,WSH,4,Won,0.0,56.6,55.6,42.7,42.3,3.6,3.2,9.6,9.4,1.7,1.4,6.6,7.2,27.6,27.8,0.6,0.8,14.3,13.7,15.0,14.9,0.9,0.9,7.9,7.8,0.9929,30.6,24.6,24.3,30.0,2.944,2.6100000000000003
"2021-02-23 - PIT 3, WSH 2",WSH,2021-02-23,PIT,3,WSH,2,Lost,1.0,57.0,55.1,43.2,42.9,3.7,3.3,10.1,9.9,1.8,1.4,7.0,7.8,28.2,27.4,0.5,0.8,13.8,14.0,14.3,14.2,1.0,1.0,7.3,7.1,0.9889000000000001,29.8,24.4,24.1,30.4,3.0100000000000002,2.705
"2021-02-25 - PIT 2, WSH 5",WSH,2021-02-25,PIT,2,WSH,5,Won,1.0,57.8,54.9,44.2,42.7,3.7,2.9,10.5,10.2,1.7,1.4,7.5,8.0,27.6,26.6,0.4,0.6,12.8,13.6,15.1,14.5,1.2,0.9,8.2,7.1,0.9738,30.5,25.6,24.7,30.3,3.0420000000000003,2.612
"2021-02-27 - WSH 5, NJ 2",WSH,2021-02-27,WSH,5,NJ,2,Lost,1.0,54.2,57.2,42.6,44.3,3.6,3.0,10.2,10.8,1.5,1.6,7.6,8.2,25.1,27.3,0.4,0.4,11.7,14.5,14.4,15.2,1.3,0.9,7.6,7.1,0.9705,29.0,24.6,26.0,31.5,2.8209999999999997,2.8600000000000003
"2021-02-28 - WSH 3, NJ 2",WSH,2021-02-28,WSH,3,NJ,2,Lost,0.0,52.6,56.8,41.6,43.6,3.3,3.2,10.4,11.5,1.6,2.0,7.8,9.0,24.2,27.1,0.3,0.3,11.5,14.2,13.9,14.3,1.1,0.8,7.1,6.6,0.9865999999999999,28.1,24.3,25.8,31.3,2.7009999999999996,2.944
"2021-03-03 - WSH 2, BOS 1",WSH,2021-03-03,WSH,2,BOS,1,Lost,2.0,52.3,54.9,41.0,42.9,3.1,3.3,9.7,11.3,1.2,2.1,6.9,8.9,24.3,26.0,0.4,0.3,11.4,13.8,14.0,13.4,1.2,0.8,7.1,6.1,0.9968999999999999,27.1,23.7,24.7,30.3,2.5629999999999997,2.916
"2021-03-05 - WSH 1, BOS 5",WSH,2021-03-05,WSH,1,BOS,5,Won,1.0,51.0,54.1,39.8,42.2,2.5,3.0,8.9,10.6,1.1,2.0,6.7,8.7,23.9,25.6,0.3,0.2,11.3,13.4,14.3,14.0,0.9,0.7,7.2,5.9,1.0148,26.7,23.2,24.6,29.4,2.3419999999999996,2.8680000000000003
"2021-03-07 - WSH 3, PHI 1",WSH,2021-03-07,WSH,3,PHI,1,Lost,1.0,49.8,53.1,38.7,42.0,2.4,2.8,9.0,10.4,1.0,1.8,6.6,8.4,22.9,24.5,0.4,0.1,10.6,13.4,14.1,14.3,0.9,0.8,6.8,6.2,1.004,25.4,23.1,24.7,29.5,2.197,2.825
"2021-03-09 - NJ 4, WSH 5",WSH,2021-03-09,NJ,4,WSH,5,Won,1.0,50.9,52.5,39.7,41.0,2.4,2.8,9.5,9.6,1.0,1.7,7.0,7.7,24.2,24.1,0.4,0.1,11.0,12.6,13.6,14.9,0.9,0.9,6.9,6.3,1.009,26.4,23.1,24.5,28.0,2.267,2.71
"2021-03-11 - WSH 5, PHI 3",WSH,2021-03-11,WSH,5,PHI,3,Lost,1.0,50.9,53.6,39.3,41.8,2.7,3.0,9.8,9.1,1.1,1.5,7.5,7.4,23.4,24.8,0.4,0.1,10.8,12.6,13.8,15.9,1.1,1.3,7.1,7.3,1.0029,27.2,23.6,25.0,28.9,2.2510000000000003,2.659
"2021-03-13 - WSH 5, PHI 4",WSH,2021-03-13,WSH,5,PHI,4,Lost,1.0,51.2,51.9,40.1,40.5,2.6,3.4,8.8,9.1,1.0,1.7,7.0,7.5,24.9,24.4,0.4,0.1,12.3,12.4,13.3,15.0,1.2,1.4,6.9,7.2,1.0295,28.1,22.1,24.1,28.4,2.07,2.702
"2021-03-15 - WSH 6, BUF 0",WSH,2021-03-15,WSH,6,BUF,0,Lost,1.0,51.3,49.7,39.8,38.1,2.7,3.5,8.9,8.2,0.9,1.8,6.9,6.9,24.7,23.0,0.6,0.2,13.0,11.2,13.5,15.3,1.2,1.3,6.9,7.3,1.0405,28.7,22.4,23.5,26.6,2.033,2.506
"2021-03-16 - NYI 1, WSH 3",WSH,2021-03-16,NYI,1,WSH,3,Won,0.0,49.6,49.8,38.3,38.6,2.4,3.9,8.9,7.9,0.8,2.0,6.6,6.7,24.6,23.6,0.6,0.4,12.9,12.3,12.5,15.3,1.0,1.3,6.3,7.4,1.0595,27.3,21.4,23.2,27.4,1.957,2.516
"2021-03-19 - NYR 1, WSH 2",WSH,2021-03-19,NYR,1,WSH,2,Won,2.0,50.0,48.0,37.5,37.6,2.3,3.7,8.4,7.0,0.7,1.8,5.8,6.1,25.5,23.6,0.6,0.5,13.2,12.2,12.8,14.3,1.0,1.3,6.5,6.8,1.0615,26.7,21.2,21.3,26.1,1.8240000000000003,2.35
"2021-03-20 - NYR 3, WSH 1",WSH,2021-03-20,NYR,3,WSH,1,Lost,0.0,51.3,48.4,39.2,37.5,2.2,3.4,8.8,6.6,0.6,1.6,5.8,5.4,25.6,23.8,0.6,0.5,13.7,12.1,13.2,15.2,1.0,1.2,6.5,7.1,1.0571,27.6,22.0,21.8,25.5,1.9609999999999999,2.2939999999999996
"2021-03-25 - NJ 3, WSH 4",WSH,2021-03-25,NJ,3,WSH,4,Won,4.0,50.6,51.5,39.0,38.9,2.3,3.2,9.0,6.7,0.8,1.5,6.1,5.4,25.0,25.2,0.5,0.5,13.3,12.2,12.9,16.4,1.0,1.1,6.8,7.3,1.045,28.0,21.9,23.1,26.1,2.0340000000000003,2.3839999999999995
"2021-03-26 - NJ 0, WSH 4",WSH,2021-03-26,NJ,0,WSH,4,Won,0.0,51.9,50.9,39.8,38.1,2.5,3.5,9.5,7.0,0.7,1.5,6.2,5.1,25.4,25.0,0.7,0.7,13.5,11.9,13.0,15.6,1.1,1.2,6.9,7.2,1.0524,28.5,22.5,22.6,25.5,2.23,2.3869999999999996
"2021-03-28 - NYR 4, WSH 5",WSH,2021-03-28,NYR,4,WSH,5,Won,1.0,53.1,51.4,40.2,38.5,2.0,3.8,9.3,7.1,0.5,1.7,6.0,5.1,26.8,24.9,0.6,0.8,14.0,11.6,13.1,15.9,0.9,1.2,6.7,7.5,1.0821999999999998,28.4,22.4,23.0,25.4,2.2969999999999997,2.4029999999999996
"2021-03-30 - WSH 2, NYR 5",WSH,2021-03-30,WSH,2,NYR,5,Won,1.0,52.2,49.9,38.4,37.7,2.3,4.0,9.3,7.7,0.8,2.0,5.7,5.4,25.0,23.6,0.6,0.9,12.9,11.0,13.5,15.5,0.9,1.0,6.5,7.3,1.0765,26.7,22.8,23.2,24.9,2.248,2.3869999999999996
"2021-04-01 - WSH 4, NYI 8",WSH,2021-04-01,WSH,4,NYI,8,Won,1.0,52.2,49.2,38.4,37.4,2.4,3.7,9.2,8.6,1.1,2.0,5.6,6.2,24.9,23.0,0.5,0.9,12.7,11.4,13.4,14.3,0.7,0.7,6.5,6.2,1.0604,26.3,22.6,22.9,25.1,2.3169999999999997,2.419
"2021-04-02 - WSH 2, NJ 1",WSH,2021-04-02,WSH,2,NJ,1,Lost,0.0,51.9,50.2,38.1,37.7,2.9,3.6,10.6,8.7,1.6,2.0,6.9,6.4,23.3,23.0,0.4,0.9,11.2,10.8,13.7,15.1,0.8,0.7,6.9,6.6,1.0407,26.3,24.3,23.8,25.1,2.544,2.419
"2021-04-04 - WSH 5, NJ 4",WSH,2021-04-04,WSH,5,NJ,4,Lost,1.0,50.6,51.8,37.3,39.3,2.6,3.3,10.4,8.7,1.6,1.7,6.9,6.5,22.0,23.9,0.2,0.9,10.4,11.6,13.8,15.7,0.7,0.7,6.7,7.3,1.0322,25.4,24.2,24.4,26.8,2.513,2.447
"2021-04-06 - WSH 0, NYI 1",WSH,2021-04-06,WSH,0,NYI,1,Won,1.0,52.6,50.2,39.2,38.0,3.0,3.2,10.8,9.2,1.8,1.8,7.3,7.0,22.2,22.5,0.2,0.8,10.9,10.4,14.6,15.0,0.9,0.6,7.0,7.0,1.0283,27.0,25.4,24.2,25.7,2.703,2.495
"2021-04-08 - BOS 4, WSH 2",WSH,2021-04-08,BOS,4,WSH,2,Lost,1.0,53.2,50.8,40.6,37.9,3.0,2.9,12.3,9.8,1.9,1.6,9.0,7.4,22.0,21.9,0.2,0.7,11.1,9.9,14.2,15.8,0.8,0.6,6.7,7.8,1.0166,28.7,26.5,25.6,26.4,2.944,2.485
"2021-04-09 - WSH 4, BUF 3",WSH,2021-04-09,WSH,4,BUF,3,Lost,0.0,52.8,51.7,40.2,38.6,3.3,2.9,12.2,10.0,2.1,1.4,9.1,7.8,22.1,21.2,0.3,0.8,10.9,10.4,14.1,16.5,0.8,0.7,6.9,8.1,1.0021,28.6,26.3,26.5,27.9,2.911,2.553
"2021-04-11 - WSH 8, BOS 1",WSH,2021-04-11,WSH,8,BOS,1,Lost,1.0,54.4,50.3,41.1,38.3,3.3,3.2,12.2,9.8,2.1,1.3,9.2,7.5,23.3,21.4,0.4,1.2,11.9,11.4,14.3,15.4,0.7,0.7,6.7,8.0,1.0137,29.4,26.5,25.2,28.3,2.833,2.4989999999999997
"2021-04-13 - PHI 1, WSH 6",WSH,2021-04-13,PHI,1,WSH,6,Won,1.0,54.7,50.6,42.2,39.2,3.1,3.6,12.0,9.7,2.2,1.7,9.4,7.7,24.0,21.3,0.2,1.0,12.5,11.6,14.0,15.9,0.6,0.9,6.8,8.7,1.0294,30.5,26.0,25.6,29.4,2.771,2.559
"2021-04-15 - BUF 5, WSH 2",WSH,2021-04-15,BUF,5,WSH,2,Lost,1.0,54.9,50.1,42.1,38.8,3.2,3.8,11.8,9.5,2.3,1.7,9.4,7.7,23.5,22.2,0.2,1.2,12.3,12.4,14.2,14.8,0.6,0.9,7.2,7.9,1.0318999999999998,31.1,26.0,24.3,29.5,2.732,2.537
"2021-04-17 - WSH 6, PHI 3",WSH,2021-04-17,WSH,6,PHI,3,Lost,1.0,55.0,52.2,43.2,40.2,3.3,3.5,12.1,9.6,2.1,1.5,9.5,7.8,23.4,23.2,0.4,1.2,12.5,12.8,14.3,15.2,0.7,0.8,7.8,8.0,1.0193999999999999,32.1,26.4,24.8,30.2,3.021,2.5839999999999996
"2021-04-18 - WSH 3, BOS 6",WSH,2021-04-18,WSH,3,BOS,6,Won,0.0,55.3,53.6,43.4,41.4,3.1,3.9,11.6,9.2,1.9,1.5,9.1,7.3,25.1,24.7,0.5,1.4,13.1,13.6,13.9,15.4,0.7,0.9,7.5,8.7,1.0343,31.9,25.5,24.6,31.1,2.9539999999999997,2.6079999999999997
"2021-04-22 - WSH 1, NYI 0",WSH,2021-04-22,WSH,1,NYI,0,Lost,3.0,55.1,54.3,43.1,42.4,2.9,3.8,10.8,9.7,1.7,1.4,8.2,7.7,24.9,25.2,0.6,1.4,13.0,14.9,14.6,15.1,0.6,0.9,7.7,8.0,1.0281,31.4,25.4,24.8,32.2,2.909,2.668
"2021-04-24 - WSH 6, NYI 3",WSH,2021-04-24,WSH,6,NYI,3,Lost,1.0,53.9,54.4,42.6,42.0,2.8,3.6,10.2,9.5,1.6,1.4,7.8,7.5,24.1,25.3,0.6,1.3,13.0,14.1,15.3,15.8,0.6,0.8,8.6,8.0,1.0274,31.7,25.5,25.3,31.0,2.8729999999999998,2.64
"2021-04-27 - NYI 0, WSH 1",WSH,2021-04-27,NYI,0,WSH,1,Won,2.0,51.6,56.6,40.6,43.6,2.7,3.7,10.1,9.6,1.6,1.3,7.9,7.4,23.4,26.4,0.7,1.3,12.5,14.9,14.5,16.6,0.4,1.0,7.9,8.3,1.0188,30.2,24.6,26.2,32.1,2.804,2.6109999999999998
"2021-04-29 - PIT 5, WSH 4",WSH,2021-04-29,PIT,5,WSH,4,Lost,1.0,49.9,57.8,38.7,44.8,2.6,3.8,8.7,10.4,1.5,1.4,6.4,8.0,22.8,26.6,0.7,1.3,11.9,15.0,14.5,16.9,0.4,1.0,8.0,8.2,1.0244,28.1,23.2,27.3,32.5,2.605,2.724
"2021-05-01 - PIT 3, WSH 0",WSH,2021-05-01,PIT,3,WSH,0,Lost,1.0,50.5,58.1,38.8,45.5,2.7,4.0,8.4,10.8,1.7,1.7,6.3,8.2,23.6,27.5,0.7,1.3,12.9,15.5,14.3,16.2,0.3,0.9,7.6,7.9,1.0272999999999999,28.4,22.7,27.0,32.9,2.586,2.717
"2021-05-03 - WSH 6, NYR 3",WSH,2021-05-03,WSH,6,NYR,3,Lost,1.0,49.3,57.1,38.1,44.6,2.7,3.6,8.7,11.1,1.8,1.7,6.4,8.5,22.1,26.3,0.6,0.9,12.2,14.5,14.4,16.3,0.3,0.9,7.5,7.8,1.0128,27.7,23.1,27.4,32.0,2.6559999999999997,2.6879999999999997
"2021-05-05 - WSH 4, NYR 2",WSH,2021-05-05,WSH,4,NYR,2,Lost,1.0,48.2,57.9,37.1,45.1,2.9,3.4,9.2,11.9,1.9,1.6,6.6,9.3,20.3,26.8,0.6,1.0,11.1,14.7,14.5,15.8,0.4,0.7,7.5,7.6,0.9949,26.8,23.7,27.7,32.7,2.671,2.868
"2021-05-07 - PHI 4, WSH 2",WSH,2021-05-07,PHI,4,WSH,2,Lost,1.0,46.2,60.0,36.1,46.5,3.0,3.2,9.0,13.0,1.8,1.5,6.4,9.7,19.6,26.8,0.6,0.7,10.9,14.2,13.8,16.4,0.6,0.8,7.1,8.0,0.9814,25.9,22.8,29.4,33.0,2.609,3.122
"2021-05-08 - PHI 1, WSH 2",WSH,2021-05-08,PHI,1,WSH,2,Won,0.0,47.1,58.9,36.8,45.5,2.9,3.2,8.7,12.7,1.9,1.5,6.3,9.5,20.8,26.3,0.5,0.6,11.3,14.0,13.3,16.2,0.4,0.9,6.6,8.3,0.9841000000000001,25.8,22.0,28.9,33.1,2.344,3.072
"2021-05-11 - BOS 1, WSH 2",WSH,2021-05-11,BOS,1,WSH,2,Won,2.0,47.9,59.2,37.4,45.7,2.7,2.8,8.7,13.4,1.7,1.5,6.1,9.9,20.3,26.1,0.4,0.5,11.4,14.3,14.4,16.1,0.5,0.7,6.9,7.6,0.9831,26.2,23.1,29.5,33.0,2.338,3.115
